pid,date,segment,uniquedevices,datetime
INS-W_1036,2021-03-29,allday,,2021-03-29 12:00:00
INS-W_1036,2021-03-30,allday,,2021-03-30 12:00:00
INS-W_1036,2021-03-31,allday,6.0,2021-03-31 12:00:00
INS-W_1036,2021-04-01,allday,3.0,2021-04-01 12:00:00
INS-W_1036,2021-04-02,allday,8.0,2021-04-02 12:00:00
INS-W_1036,2021-04-03,allday,6.0,2021-04-03 12:00:00
INS-W_1036,2021-04-04,allday,8.0,2021-04-04 12:00:00
INS-W_1036,2021-04-05,allday,7.0,2021-04-05 12:00:00
INS-W_1036,2021-04-06,allday,3.0,2021-04-06 12:00:00
INS-W_1036,2021-04-07,allday,4.0,2021-04-07 12:00:00
INS-W_1036,2021-04-08,allday,6.0,2021-04-08 12:00:00
INS-W_1036,2021-04-09,allday,6.0,2021-04-09 12:00:00
INS-W_1036,2021-04-10,allday,2.0,2021-04-10 12:00:00
INS-W_1036,2021-04-11,allday,2.0,2021-04-11 12:00:00
INS-W_1036,2021-04-12,allday,2.0,2021-04-12 12:00:00
INS-W_1036,2021-04-13,allday,8.0,2021-04-13 12:00:00
INS-W_1036,2021-04-14,allday,,2021-04-14 12:00:00
INS-W_1036,2021-04-15,allday,1.0,2021-04-15 12:00:00
INS-W_1036,2021-04-16,allday,2.0,2021-04-16 12:00:00
INS-W_1036,2021-04-17,allday,2.0,2021-04-17 12:00:00
INS-W_1036,2021-04-18,allday,2.0,2021-04-18 12:00:00
INS-W_1036,2021-04-19,allday,2.0,2021-04-19 12:00:00
INS-W_1036,2021-04-20,allday,12.0,2021-04-20 12:00:00
INS-W_1036,2021-04-21,allday,3.0,2021-04-21 12:00:00
INS-W_1036,2021-04-22,allday,3.0,2021-04-22 12:00:00
INS-W_1036,2021-04-23,allday,4.0,2021-04-23 12:00:00
INS-W_1036,2021-04-24,allday,12.0,2021-04-24 12:00:00
INS-W_1036,2021-04-25,allday,2.0,2021-04-25 12:00:00
INS-W_1036,2021-04-26,allday,5.0,2021-04-26 12:00:00
INS-W_1036,2021-04-27,allday,7.0,2021-04-27 12:00:00
INS-W_1036,2021-04-28,allday,2.0,2021-04-28 12:00:00
INS-W_1036,2021-04-29,allday,7.0,2021-04-29 12:00:00
INS-W_1036,2021-04-30,allday,8.0,2021-04-30 12:00:00
INS-W_1036,2021-05-01,allday,6.0,2021-05-01 12:00:00
INS-W_1036,2021-05-02,allday,5.0,2021-05-02 12:00:00
INS-W_1036,2021-05-03,allday,4.0,2021-05-03 12:00:00
INS-W_1036,2021-05-04,allday,7.0,2021-05-04 12:00:00
INS-W_1036,2021-05-05,allday,3.0,2021-05-05 12:00:00
INS-W_1036,2021-05-06,allday,2.0,2021-05-06 12:00:00
INS-W_1036,2021-05-07,allday,3.0,2021-05-07 12:00:00
INS-W_1036,2021-05-08,allday,14.0,2021-05-08 12:00:00
INS-W_1036,2021-05-09,allday,15.0,2021-05-09 12:00:00
INS-W_1036,2021-05-10,allday,4.0,2021-05-10 12:00:00
INS-W_1036,2021-05-11,allday,3.0,2021-05-11 12:00:00
INS-W_1036,2021-05-12,allday,10.0,2021-05-12 12:00:00
INS-W_1036,2021-05-13,allday,8.0,2021-05-13 12:00:00
INS-W_1036,2021-05-14,allday,2.0,2021-05-14 12:00:00
INS-W_1036,2021-05-15,allday,12.0,2021-05-15 12:00:00
INS-W_1036,2021-05-16,allday,12.0,2021-05-16 12:00:00
INS-W_1036,2021-05-17,allday,5.0,2021-05-17 12:00:00
