pid,date,segment,numberofsignificantplaces,radiusgyration,timeathome,totaldistance,duration_in_locmap_exercise,duration_in_locmap_greens,duration_in_locmap_study,datetime
INS-W_1036,2021-03-29,afternoon,1.0,0.0,0.0,52.8218361696851,0.0,0.0,0.0,2021-03-29 11:59:59
INS-W_1036,2021-03-29,evening,7.0,4171.39896120647,108.284216666667,14293.2190625154,0.0,0.9999,0.0,2021-03-29 17:59:59
INS-W_1036,2021-03-29,morning,1.0,0.0,0.0,81.1499146458194,0.0,0.0,0.0,2021-03-29 05:59:59
INS-W_1036,2021-03-29,night,1.0,0.0,0.0,29.0696536459464,0.0,0.0,0.0,2021-03-29 23:59:59
INS-W_1036,2021-03-30,afternoon,2.0,81.4199841027429,335.985750000001,1349.4705993125,0.0,0.0,0.0,2021-03-30 11:59:59
INS-W_1036,2021-03-30,evening,1.0,0.0,281.993283333334,877.446823387564,0.0,0.0,0.0,2021-03-30 17:59:59
INS-W_1036,2021-03-30,morning,1.0,0.0,327.710416666667,17.0624472695726,0.0,0.0,0.0,2021-03-30 05:59:59
INS-W_1036,2021-03-30,night,1.0,0.0,356.989100000001,183.03764141235,0.0,0.0,0.0,2021-03-30 23:59:59
INS-W_1036,2021-03-31,afternoon,6.0,537.953186537785,304.962433333334,2204.23010620126,0.0,0.0,0.0,2021-03-31 11:59:59
INS-W_1036,2021-03-31,evening,11.0,2176.26026229714,241.017083333334,23490.5870193961,0.0,0.0,0.0,2021-03-31 17:59:59
INS-W_1036,2021-03-31,morning,1.0,0.0,358.991683333334,41.0295968577772,0.0,0.0,0.0,2021-03-31 05:59:59
INS-W_1036,2021-03-31,night,1.0,0.0,356.992383333334,177.266954180999,0.0,0.0,0.0,2021-03-31 23:59:59
INS-W_1036,2021-04-01,afternoon,1.0,0.0,326.69425,2516.36074862213,0.0,0.0,0.0,2021-04-01 11:59:59
INS-W_1036,2021-04-01,evening,1.0,7.07323088988687e-10,350.978900000001,615.504819387417,0.0,0.0,0.0,2021-04-01 17:59:59
INS-W_1036,2021-04-01,morning,1.0,0.0,322.989016666667,738.524017614344,0.0,0.0,0.0,2021-04-01 05:59:59
INS-W_1036,2021-04-01,night,16.0,2485.37116621373,197.991383333333,29889.7244737442,5.9992,7.00026666666667,0.0,2021-04-01 23:59:59
INS-W_1036,2021-04-02,afternoon,7.0,2981.35692513387,136.266583333333,18728.3840852296,0.0,0.0,0.0,2021-04-02 11:59:59
INS-W_1036,2021-04-02,evening,4.0,3221.37411271053,0.0,19482.5869945868,0.0,0.0,0.0,2021-04-02 17:59:59
INS-W_1036,2021-04-02,morning,1.0,0.0,338.987883333334,1315.59277318039,0.0,0.0,0.0,2021-04-02 05:59:59
INS-W_1036,2021-04-02,night,1.0,0.0,348.987433333334,748.76532527279,0.0,0.0,0.0,2021-04-02 23:59:59
INS-W_1036,2021-04-03,afternoon,7.0,2055.88126363797,0.0,23175.8062846356,0.0,0.0,0.0,2021-04-03 11:59:59
INS-W_1036,2021-04-03,evening,5.0,1001.06481495248,0.0,20219.808235209,0.0,0.0,0.0,2021-04-03 17:59:59
INS-W_1036,2021-04-03,morning,1.0,0.0,0.0,2973.34137914309,0.0,0.0,0.0,2021-04-03 05:59:59
INS-W_1036,2021-04-03,night,1.0,0.0,0.0,1468.7899945489,0.0,0.0,0.0,2021-04-03 23:59:59
INS-W_1036,2021-04-04,afternoon,12.0,4646.60370002861,12.9998666666667,28502.9509898125,0.0,6.99743333333333,4.00246666666667,2021-04-04 11:59:59
INS-W_1036,2021-04-04,evening,5.0,4384.04231726513,178.713466666667,10423.676778152,0.0,0.0,0.0,2021-04-04 17:59:59
INS-W_1036,2021-04-04,morning,5.0,6461.19773329696,0.0,19208.8455423955,0.0015333333333333,0.0,0.0,2021-04-04 05:59:59
INS-W_1036,2021-04-04,night,1.0,0.0,0.0,1388.46160574147,0.0,0.0,0.0,2021-04-04 23:59:59
