datetime,pid,date,segment,incoming_count,incoming_countmostfrequentcontact,incoming_distinctcontacts,incoming_meanduration,incoming_sumduration,missed_count,missed_distinctcontacts,outgoing_count,outgoing_countmostfrequentcontact,outgoing_distinctcontacts,outgoing_meanduration,outgoing_sumduration
2021-03-29 05:59:59,INS-W_1005,2021-03-29,morning,,,,,,,,,,,,
2021-03-29 11:59:59,INS-W_1005,2021-03-29,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-03-29 17:59:59,INS-W_1005,2021-03-29,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-29 23:59:59,INS-W_1005,2021-03-29,night,,,,,,,,,,,,
2021-03-30 05:59:59,INS-W_1005,2021-03-30,morning,,,,,,,,,,,,
2021-03-30 11:59:59,INS-W_1005,2021-03-30,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-03-30 17:59:59,INS-W_1005,2021-03-30,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-30 23:59:59,INS-W_1005,2021-03-30,night,,,,,,,,,,,,
2021-03-31 05:59:59,INS-W_1005,2021-03-31,morning,,,,,,,,,,,,
2021-03-31 11:59:59,INS-W_1005,2021-03-31,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-03-31 17:59:59,INS-W_1005,2021-03-31,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-31 23:59:59,INS-W_1005,2021-03-31,night,,,,,,,,,,,,
2021-04-01 05:59:59,INS-W_1005,2021-04-01,morning,,,,,,,,,,,,
2021-04-01 11:59:59,INS-W_1005,2021-04-01,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-01 17:59:59,INS-W_1005,2021-04-01,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-01 23:59:59,INS-W_1005,2021-04-01,night,,,,,,,,,,,,
2021-04-02 05:59:59,INS-W_1005,2021-04-02,morning,,,,,,,,,,,,
2021-04-02 11:59:59,INS-W_1005,2021-04-02,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-02 17:59:59,INS-W_1005,2021-04-02,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-02 23:59:59,INS-W_1005,2021-04-02,night,,,,,,,,,,,,
2021-04-03 05:59:59,INS-W_1005,2021-04-03,morning,,,,,,,,,,,,
2021-04-03 11:59:59,INS-W_1005,2021-04-03,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-03 17:59:59,INS-W_1005,2021-04-03,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-03 23:59:59,INS-W_1005,2021-04-03,night,,,,,,,,,,,,
2021-04-04 05:59:59,INS-W_1005,2021-04-04,morning,,,,,,,,,,,,
2021-04-04 11:59:59,INS-W_1005,2021-04-04,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-04 17:59:59,INS-W_1005,2021-04-04,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-04 23:59:59,INS-W_1005,2021-04-04,night,,,,,,,,,,,,
2021-04-05 05:59:59,INS-W_1005,2021-04-05,morning,,,,,,,,,,,,
2021-04-05 11:59:59,INS-W_1005,2021-04-05,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-05 17:59:59,INS-W_1005,2021-04-05,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-05 23:59:59,INS-W_1005,2021-04-05,night,,,,,,,,,,,,
2021-04-06 05:59:59,INS-W_1005,2021-04-06,morning,,,,,,,,,,,,
2021-04-06 11:59:59,INS-W_1005,2021-04-06,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-06 17:59:59,INS-W_1005,2021-04-06,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-06 23:59:59,INS-W_1005,2021-04-06,night,,,,,,,,,,,,
2021-04-07 05:59:59,INS-W_1005,2021-04-07,morning,,,,,,,,,,,,
2021-04-07 11:59:59,INS-W_1005,2021-04-07,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-07 17:59:59,INS-W_1005,2021-04-07,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-07 23:59:59,INS-W_1005,2021-04-07,night,,,,,,,,,,,,
2021-04-08 05:59:59,INS-W_1005,2021-04-08,morning,,,,,,,,,,,,
2021-04-08 11:59:59,INS-W_1005,2021-04-08,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-08 17:59:59,INS-W_1005,2021-04-08,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-08 23:59:59,INS-W_1005,2021-04-08,night,,,,,,,,,,,,
2021-04-09 05:59:59,INS-W_1005,2021-04-09,morning,,,,,,,,,,,,
2021-04-09 11:59:59,INS-W_1005,2021-04-09,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-09 17:59:59,INS-W_1005,2021-04-09,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-09 23:59:59,INS-W_1005,2021-04-09,night,,,,,,,,,,,,
2021-04-10 05:59:59,INS-W_1005,2021-04-10,morning,,,,,,,,,,,,
2021-04-10 11:59:59,INS-W_1005,2021-04-10,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-10 17:59:59,INS-W_1005,2021-04-10,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-10 23:59:59,INS-W_1005,2021-04-10,night,,,,,,,,,,,,
2021-04-11 05:59:59,INS-W_1005,2021-04-11,morning,,,,,,,,,,,,
2021-04-11 11:59:59,INS-W_1005,2021-04-11,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-11 17:59:59,INS-W_1005,2021-04-11,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-11 23:59:59,INS-W_1005,2021-04-11,night,,,,,,,,,,,,
2021-04-12 05:59:59,INS-W_1005,2021-04-12,morning,,,,,,,,,,,,
2021-04-12 11:59:59,INS-W_1005,2021-04-12,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-12 17:59:59,INS-W_1005,2021-04-12,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-12 23:59:59,INS-W_1005,2021-04-12,night,,,,,,,,,,,,
2021-04-13 05:59:59,INS-W_1005,2021-04-13,morning,,,,,,,,,,,,
2021-04-13 11:59:59,INS-W_1005,2021-04-13,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-13 17:59:59,INS-W_1005,2021-04-13,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-13 23:59:59,INS-W_1005,2021-04-13,night,,,,,,,,,,,,
2021-04-14 05:59:59,INS-W_1005,2021-04-14,morning,,,,,,,,,,,,
2021-04-14 11:59:59,INS-W_1005,2021-04-14,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,875.0,875.0
2021-04-14 17:59:59,INS-W_1005,2021-04-14,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-14 23:59:59,INS-W_1005,2021-04-14,night,,,,,,,,,,,,
2021-04-15 05:59:59,INS-W_1005,2021-04-15,morning,,,,,,,,,,,,
2021-04-15 11:59:59,INS-W_1005,2021-04-15,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,719.2,719.2
2021-04-15 17:59:59,INS-W_1005,2021-04-15,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-15 23:59:59,INS-W_1005,2021-04-15,night,,,,,,,,,,,,
2021-04-16 05:59:59,INS-W_1005,2021-04-16,morning,,,,,,,,,,,,
2021-04-16 11:59:59,INS-W_1005,2021-04-16,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,563.4000000000001,563.4000000000001
2021-04-16 17:59:59,INS-W_1005,2021-04-16,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-16 23:59:59,INS-W_1005,2021-04-16,night,,,,,,,,,,,,
2021-04-17 05:59:59,INS-W_1005,2021-04-17,morning,,,,,,,,,,,,
2021-04-17 11:59:59,INS-W_1005,2021-04-17,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,407.6,407.6
2021-04-17 17:59:59,INS-W_1005,2021-04-17,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-17 23:59:59,INS-W_1005,2021-04-17,night,,,,,,,,,,,,
2021-04-18 05:59:59,INS-W_1005,2021-04-18,morning,,,,,,,,,,,,
2021-04-18 11:59:59,INS-W_1005,2021-04-18,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,251.80000000000007,251.80000000000007
2021-04-18 17:59:59,INS-W_1005,2021-04-18,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-18 23:59:59,INS-W_1005,2021-04-18,night,,,,,,,,,,,,
2021-04-19 05:59:59,INS-W_1005,2021-04-19,morning,,,,,,,,,,,,
2021-04-19 11:59:59,INS-W_1005,2021-04-19,afternoon,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,96.0,96.0
2021-04-19 17:59:59,INS-W_1005,2021-04-19,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-19 23:59:59,INS-W_1005,2021-04-19,night,,,,,,,,,,,,
2021-04-20 05:59:59,INS-W_1005,2021-04-20,morning,,,,,,,,,,,,
2021-04-20 11:59:59,INS-W_1005,2021-04-20,afternoon,0.052631578947368425,0.052631578947368425,0.052631578947368425,5.0,5.0,0.10526315789473685,0.052631578947368425,1.0,0.0,1.0,92.0,92.0
2021-04-20 17:59:59,INS-W_1005,2021-04-20,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-20 23:59:59,INS-W_1005,2021-04-20,night,,,,,,,,,,,,
2021-04-21 05:59:59,INS-W_1005,2021-04-21,morning,,,,,,,,,,,,
2021-04-21 11:59:59,INS-W_1005,2021-04-21,afternoon,0.10526315789473685,0.10526315789473685,0.10526315789473685,5.0,5.0,0.2105263157894737,0.10526315789473685,1.0,0.0,1.0,88.0,88.0
2021-04-21 17:59:59,INS-W_1005,2021-04-21,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-21 23:59:59,INS-W_1005,2021-04-21,night,,,,,,,,,,,,
2021-04-22 05:59:59,INS-W_1005,2021-04-22,morning,,,,,,,,,,,,
2021-04-22 11:59:59,INS-W_1005,2021-04-22,afternoon,0.15789473684210528,0.15789473684210528,0.15789473684210528,5.0,5.0,0.31578947368421056,0.15789473684210528,1.0,0.0,1.0,84.0,84.0
2021-04-22 17:59:59,INS-W_1005,2021-04-22,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-22 23:59:59,INS-W_1005,2021-04-22,night,,,,,,,,,,,,
2021-04-23 05:59:59,INS-W_1005,2021-04-23,morning,,,,,,,,,,,,
2021-04-23 11:59:59,INS-W_1005,2021-04-23,afternoon,0.2105263157894737,0.2105263157894737,0.2105263157894737,5.0,5.0,0.4210526315789474,0.2105263157894737,1.0,0.0,1.0,80.0,80.0
2021-04-23 17:59:59,INS-W_1005,2021-04-23,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-23 23:59:59,INS-W_1005,2021-04-23,night,,,,,,,,,,,,
2021-04-24 05:59:59,INS-W_1005,2021-04-24,morning,,,,,,,,,,,,
2021-04-24 11:59:59,INS-W_1005,2021-04-24,afternoon,0.26315789473684215,0.26315789473684215,0.26315789473684215,5.0,5.0,0.5263157894736843,0.26315789473684215,1.0,0.0,1.0,76.0,76.0
2021-04-24 17:59:59,INS-W_1005,2021-04-24,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-24 23:59:59,INS-W_1005,2021-04-24,night,,,,,,,,,,,,
2021-04-25 05:59:59,INS-W_1005,2021-04-25,morning,,,,,,,,,,,,
2021-04-25 11:59:59,INS-W_1005,2021-04-25,afternoon,0.31578947368421056,0.31578947368421056,0.31578947368421056,5.0,5.0,0.6315789473684211,0.31578947368421056,1.0,0.0,1.0,72.0,72.0
2021-04-25 17:59:59,INS-W_1005,2021-04-25,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-25 23:59:59,INS-W_1005,2021-04-25,night,,,,,,,,,,,,
2021-04-26 05:59:59,INS-W_1005,2021-04-26,morning,,,,,,,,,,,,
2021-04-26 11:59:59,INS-W_1005,2021-04-26,afternoon,0.368421052631579,0.368421052631579,0.368421052631579,5.0,5.0,0.736842105263158,0.368421052631579,1.0,0.0,1.0,68.0,68.0
2021-04-26 17:59:59,INS-W_1005,2021-04-26,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-26 23:59:59,INS-W_1005,2021-04-26,night,,,,,,,,,,,,
2021-04-27 05:59:59,INS-W_1005,2021-04-27,morning,,,,,,,,,,,,
2021-04-27 11:59:59,INS-W_1005,2021-04-27,afternoon,0.4210526315789474,0.4210526315789474,0.4210526315789474,5.0,5.0,0.8421052631578948,0.4210526315789474,1.0,0.0,1.0,64.0,64.0
2021-04-27 17:59:59,INS-W_1005,2021-04-27,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-27 23:59:59,INS-W_1005,2021-04-27,night,,,,,,,,,,,,
2021-04-28 05:59:59,INS-W_1005,2021-04-28,morning,,,,,,,,,,,,
2021-04-28 11:59:59,INS-W_1005,2021-04-28,afternoon,0.4736842105263158,0.4736842105263158,0.4736842105263158,5.0,5.0,0.9473684210526316,0.4736842105263158,1.0,0.0,1.0,60.0,60.0
2021-04-28 17:59:59,INS-W_1005,2021-04-28,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-28 23:59:59,INS-W_1005,2021-04-28,night,,,,,,,,,,,,
2021-04-29 05:59:59,INS-W_1005,2021-04-29,morning,,,,,,,,,,,,
2021-04-29 11:59:59,INS-W_1005,2021-04-29,afternoon,0.5263157894736843,0.5263157894736843,0.5263157894736843,5.0,5.0,1.0526315789473686,0.5263157894736843,1.0,0.0,1.0,56.0,56.0
2021-04-29 17:59:59,INS-W_1005,2021-04-29,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-29 23:59:59,INS-W_1005,2021-04-29,night,,,,,,,,,,,,
2021-04-30 05:59:59,INS-W_1005,2021-04-30,morning,,,,,,,,,,,,
2021-04-30 11:59:59,INS-W_1005,2021-04-30,afternoon,0.5789473684210527,0.5789473684210527,0.5789473684210527,5.0,5.0,1.1578947368421053,0.5789473684210527,1.0,0.0,1.0,52.0,52.0
2021-04-30 17:59:59,INS-W_1005,2021-04-30,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-04-30 23:59:59,INS-W_1005,2021-04-30,night,,,,,,,,,,,,
2021-05-01 05:59:59,INS-W_1005,2021-05-01,morning,,,,,,,,,,,,
2021-05-01 11:59:59,INS-W_1005,2021-05-01,afternoon,0.6315789473684211,0.6315789473684211,0.6315789473684211,5.0,5.0,1.2631578947368423,0.6315789473684211,1.0,0.0,1.0,48.0,48.0
2021-05-01 17:59:59,INS-W_1005,2021-05-01,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-01 23:59:59,INS-W_1005,2021-05-01,night,,,,,,,,,,,,
2021-05-02 05:59:59,INS-W_1005,2021-05-02,morning,,,,,,,,,,,,
2021-05-02 11:59:59,INS-W_1005,2021-05-02,afternoon,0.6842105263157895,0.6842105263157895,0.6842105263157895,5.0,5.0,1.368421052631579,0.6842105263157895,1.0,0.0,1.0,44.0,44.0
2021-05-02 17:59:59,INS-W_1005,2021-05-02,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-02 23:59:59,INS-W_1005,2021-05-02,night,,,,,,,,,,,,
2021-05-03 05:59:59,INS-W_1005,2021-05-03,morning,,,,,,,,,,,,
2021-05-03 11:59:59,INS-W_1005,2021-05-03,afternoon,0.736842105263158,0.736842105263158,0.736842105263158,5.0,5.0,1.473684210526316,0.736842105263158,1.0,0.0,1.0,40.0,40.0
2021-05-03 17:59:59,INS-W_1005,2021-05-03,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-03 23:59:59,INS-W_1005,2021-05-03,night,,,,,,,,,,,,
2021-05-04 05:59:59,INS-W_1005,2021-05-04,morning,,,,,,,,,,,,
2021-05-04 11:59:59,INS-W_1005,2021-05-04,afternoon,0.7894736842105263,0.7894736842105263,0.7894736842105263,5.0,5.0,1.5789473684210527,0.7894736842105263,1.0,0.0,1.0,36.0,36.0
2021-05-04 17:59:59,INS-W_1005,2021-05-04,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-04 23:59:59,INS-W_1005,2021-05-04,night,,,,,,,,,,,,
2021-05-05 05:59:59,INS-W_1005,2021-05-05,morning,,,,,,,,,,,,
2021-05-05 11:59:59,INS-W_1005,2021-05-05,afternoon,0.8421052631578948,0.8421052631578948,0.8421052631578948,5.0,5.0,1.6842105263157896,0.8421052631578948,1.0,0.0,1.0,32.0,32.0
2021-05-05 17:59:59,INS-W_1005,2021-05-05,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-05 23:59:59,INS-W_1005,2021-05-05,night,,,,,,,,,,,,
2021-05-06 05:59:59,INS-W_1005,2021-05-06,morning,,,,,,,,,,,,
2021-05-06 11:59:59,INS-W_1005,2021-05-06,afternoon,0.8947368421052632,0.8947368421052632,0.8947368421052632,5.0,5.0,1.7894736842105263,0.8947368421052632,1.0,0.0,1.0,28.0,28.0
2021-05-06 17:59:59,INS-W_1005,2021-05-06,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-06 23:59:59,INS-W_1005,2021-05-06,night,,,,,,,,,,,,
2021-05-07 05:59:59,INS-W_1005,2021-05-07,morning,,,,,,,,,,,,
2021-05-07 11:59:59,INS-W_1005,2021-05-07,afternoon,0.9473684210526316,0.9473684210526316,0.9473684210526316,5.0,5.0,1.8947368421052633,0.9473684210526316,1.0,0.0,1.0,24.0,24.0
2021-05-07 17:59:59,INS-W_1005,2021-05-07,evening,1.0,1.0,1.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,
2021-05-07 23:59:59,INS-W_1005,2021-05-07,night,,,,,,,,,,,,
2021-05-08 05:59:59,INS-W_1005,2021-05-08,morning,,,,,,,,,,,,
2021-05-08 11:59:59,INS-W_1005,2021-05-08,afternoon,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,0.0,1.0,20.0,20.0
