datetime,pid,date,segment,numberofsignificantplaces,radiusgyration,timeathome,totaldistance,duration_in_locmap_exercise,duration_in_locmap_greens,duration_in_locmap_study
2021-03-29 05:59:59,INS-W_1005,2021-03-29,morning,2.0,120.227368760577,309.78565,2782.16864195738,0.0,6.5439,2.23196666666667
2021-03-29 11:59:59,INS-W_1005,2021-03-29,afternoon,1.0,0.0,314.016466666667,3414.10060541878,0.0,3.15658333333333,0.0
2021-03-29 17:59:59,INS-W_1005,2021-03-29,evening,1.0,1.9057019632970503e-09,313.382466666667,2546.66532722901,0.0,0.0,0.0
2021-03-29 23:59:59,INS-W_1005,2021-03-29,night,1.0,0.0,296.9181,4300.15128827822,0.0,0.0,0.0
2021-03-30 05:59:59,INS-W_1005,2021-03-30,morning,1.0,0.0,287.444566666667,3000.82514881976,0.0,0.0,0.0
2021-03-30 11:59:59,INS-W_1005,2021-03-30,afternoon,1.0,0.0,260.844166666667,1139.50171768885,0.0,0.0,0.0
2021-03-30 17:59:59,INS-W_1005,2021-03-30,evening,1.0,0.0,285.781216666667,2746.14686661824,0.0,0.0,0.0
2021-03-30 23:59:59,INS-W_1005,2021-03-30,night,1.0,0.0,219.739966666667,1059.09215702491,0.0,0.0,0.0
2021-03-31 05:59:59,INS-W_1005,2021-03-31,morning,1.0,0.0,277.767033333333,1245.45004006978,0.0,0.0,0.0
2021-03-31 11:59:59,INS-W_1005,2021-03-31,afternoon,1.0,0.0,266.275183333334,3043.00471085358,0.0,0.0,0.0
2021-03-31 17:59:59,INS-W_1005,2021-03-31,evening,1.0,0.0,230.5823,1109.94734317492,0.0,0.0,0.0
2021-03-31 23:59:59,INS-W_1005,2021-03-31,night,1.0,0.0,237.793350000001,1996.46486455427,0.0,0.0,0.0
2021-04-01 05:59:59,INS-W_1005,2021-04-01,morning,2.0,124.494418200118,234.037033333334,6859.33743010932,0.0,51.9430666666667,4.16788333333333
2021-04-01 11:59:59,INS-W_1005,2021-04-01,afternoon,1.0,7.07323088988687e-10,204.833833333333,1560.20250254091,0.0,0.0,0.0
2021-04-01 17:59:59,INS-W_1005,2021-04-01,evening,1.0,0.0,317.37945,1628.18862205072,0.0,0.0,0.0
2021-04-01 23:59:59,INS-W_1005,2021-04-01,night,1.0,0.0,245.180566666667,1922.2175201773,0.0,0.0,0.0
2021-04-02 05:59:59,INS-W_1005,2021-04-02,morning,1.0,0.0,326.83425,2025.15274724284,0.0,0.0,0.0
2021-04-02 11:59:59,INS-W_1005,2021-04-02,afternoon,1.0,0.0,218.399733333333,200.794935706338,0.0,0.0,0.0
2021-04-02 17:59:59,INS-W_1005,2021-04-02,evening,1.0,0.0,299.153883333334,2449.59410708183,0.0,0.0,0.0
2021-04-02 23:59:59,INS-W_1005,2021-04-02,night,1.0,0.0,304.339783333334,4078.82642023999,0.0,0.0,0.0
2021-04-03 05:59:59,INS-W_1005,2021-04-03,morning,1.0,1.90570389612245e-09,202.258366666667,2709.5195323366,0.0,0.0,0.0
2021-04-03 11:59:59,INS-W_1005,2021-04-03,afternoon,6.0,786.609889073239,187.048016666667,11770.768919524,62.7994,0.0,0.0
2021-04-03 17:59:59,INS-W_1005,2021-04-03,evening,1.0,0.0,295.650416666667,3524.73774823036,0.0,0.0,0.0
2021-04-03 23:59:59,INS-W_1005,2021-04-03,night,1.0,0.0,120.347933333333,750.304600296141,0.0,0.0,0.0
