datetime,pid,date,segment,avgdurationunlock,avgdurationunlock_locmap_exercise,avgdurationunlock_locmap_greens,avgdurationunlock_locmap_home,avgdurationunlock_locmap_living,avgdurationunlock_locmap_study,countepisodeunlock,countepisodeunlock_locmap_exercise,countepisodeunlock_locmap_greens,countepisodeunlock_locmap_home,countepisodeunlock_locmap_living,countepisodeunlock_locmap_study,maxdurationunlock,maxdurationunlock_locmap_exercise,maxdurationunlock_locmap_greens,maxdurationunlock_locmap_home,maxdurationunlock_locmap_living,maxdurationunlock_locmap_study,sumdurationunlock,sumdurationunlock_locmap_exercise,sumdurationunlock_locmap_greens,sumdurationunlock_locmap_home,sumdurationunlock_locmap_living,sumdurationunlock_locmap_study
2021-03-29 05:59:59,INS-W_1005,2021-03-29,morning,3.64836956521739,1.25268333333333,0.293,3.77627954545454,0.480633333333333,0.0100333333333333,23.0,1.0,1.0,22.0,3.0,1.0,21.38905,1.25268333333333,0.293,21.38905,0.999983333333333,0.0100333333333333,83.9125,1.25268333333333,0.293,83.07815,1.4419,0.0100333333333333
2021-03-29 11:59:59,INS-W_1005,2021-03-29,afternoon,9.95005454545455,3.00816666666667,4.98235625,9.95005454545455,0.0759666666666667,1.879325,22.0,4.0,8.0,22.0,1.0,2.0,102.417166666667,4.99991666666667,21.2091666666667,102.417166666667,0.0759666666666667,2.99995,218.9012,12.0326666666667,39.85885,218.9012,0.0759666666666667,3.75865
2021-03-29 17:59:59,INS-W_1005,2021-03-29,evening,9.68137685185185,,1.08281666666667,12.3335369047619,0.179183333333333,,18.0,,1.0,14.0,1.0,,121.180616666667,,1.08281666666667,121.180616666667,0.179183333333333,,174.264783333333,,1.08281666666667,172.669516666667,0.179183333333333,
2021-03-29 23:59:59,INS-W_1005,2021-03-29,night,15.3095666666667,,,15.3095666666667,,,2.0,,,2.0,,,24.1951333333333,,,24.1951333333333,,,30.6191333333333,,,30.6191333333333,,
2021-03-30 05:59:59,INS-W_1005,2021-03-30,morning,3.68117948717949,1.25268333333333,0.293,3.787225,0.480633333333333,0.0100333333333333,26.0,1.0,1.0,24.0,3.0,1.0,28.3718166666667,1.25268333333333,0.293,28.3718166666667,0.999983333333333,0.0100333333333333,95.7106666666666,1.25268333333333,0.293,90.8934,1.4419,0.0100333333333333
2021-03-30 11:59:59,INS-W_1005,2021-03-30,afternoon,2.8561175,3.00816666666667,4.98235625,4.08029696969697,0.0759666666666667,1.879325,20.0,4.0,8.0,11.0,1.0,2.0,12.99835,4.99991666666667,21.2091666666667,12.99835,0.0759666666666667,2.99995,57.12235,12.0326666666667,39.85885,44.8832666666667,0.0759666666666667,3.75865
2021-03-30 17:59:59,INS-W_1005,2021-03-30,evening,17.7672666666667,,1.08281666666667,20.3757805555556,0.5779583333333326,,15.0,,1.0,12.0,1.1428571428571428,,139.715166666667,,1.08281666666667,139.715166666667,0.8829809523809526,,266.509,,1.08281666666667,244.509366666667,1.0023309523809527,
2021-03-30 23:59:59,INS-W_1005,2021-03-30,night,179.996991666667,,,235.813416666668,,,2.0,,,1.0,,,235.813416666668,,,235.813416666668,,,359.993983333335,,,235.813416666668,,
2021-03-31 05:59:59,INS-W_1005,2021-03-31,morning,3.50324102564102,1.25268333333333,0.293,3.69740072463768,0.480633333333333,0.0100333333333333,26.0,1.0,1.0,23.0,3.0,1.0,34.9912,1.25268333333333,0.293,34.9912,0.999983333333333,0.0100333333333333,91.0842666666667,1.25268333333333,0.293,85.0402166666667,1.4419,0.0100333333333333
2021-03-31 11:59:59,INS-W_1005,2021-03-31,afternoon,14.6958107142857,3.00816666666667,4.98235625,31.2984972222222,0.25087575757575786,1.879325,14.0,4.0,8.0,6.0,1.1818181818181819,2.0,78.65845,4.99991666666667,21.2091666666667,78.65845,0.43269090909090885,2.99995,205.74135,12.0326666666667,39.85885,187.790983333333,0.6145060606060606,3.75865
2021-03-31 17:59:59,INS-W_1005,2021-03-31,evening,4.02189333333333,,1.08281666666667,5.68446282051282,0.9767333333333322,,20.0,,1.0,13.0,1.2857142857142856,,38.4599333333333,,1.08281666666667,38.4599333333333,1.5867785714285723,,80.4378666666667,,1.08281666666667,73.8980166666666,1.8254785714285724,
2021-03-31 23:59:59,INS-W_1005,2021-03-31,night,46.7129416666667,,,46.7129416666667,,,2.0,,,2.0,,,79.5233,,,79.5233,,,93.4258833333333,,,93.4258833333333,,
2021-04-01 05:59:59,INS-W_1005,2021-04-01,morning,3.40001944444444,1.25268333333333,0.293,4.46486574074074,0.480633333333333,0.0100333333333333,24.0,1.0,1.0,18.0,3.0,1.0,45.2139333333333,1.25268333333333,0.293,45.2139333333333,0.999983333333333,0.0100333333333333,81.6004666666667,1.25268333333333,0.293,80.3675833333333,1.4419,0.0100333333333333
2021-04-01 11:59:59,INS-W_1005,2021-04-01,afternoon,2.85238115942029,3.00816666666667,4.98235625,3.86799,0.42578484848484904,1.879325,23.0,4.0,8.0,15.0,1.3636363636363635,2.0,32.8320833333333,4.99991666666667,21.2091666666667,32.8320833333333,0.7894151515151511,2.99995,65.6047666666667,12.0326666666667,39.85885,58.01985,1.1530454545454545,3.75865
2021-04-01 17:59:59,INS-W_1005,2021-04-01,evening,5.64044833333333,,1.08281666666667,5.64044833333333,1.3755083333333318,,10.0,,1.0,10.0,1.4285714285714286,,49.3841333333333,,1.08281666666667,49.3841333333333,2.290576190476192,,56.4044833333333,,1.08281666666667,56.4044833333333,2.6486261904761923,
2021-04-01 23:59:59,INS-W_1005,2021-04-01,night,179.996991666667,,,274.995400000001,,,2.0,,,1.0,,,274.995400000001,,,274.995400000001,,,359.993983333335,,,274.995400000001,,
2021-04-02 05:59:59,INS-W_1005,2021-04-02,morning,9.23960648148148,1.25268333333333,1.36043,9.23960648148148,0.584503333333333,0.0100333333333333,18.0,1.0,1.2,18.0,2.6,1.0,101.22295,1.25268333333333,1.4864766666666658,101.22295,0.999983333333333,0.0100333333333333,166.312916666667,1.25268333333333,2.4864600000000006,166.312916666667,1.3535166666666665,0.0100333333333333
2021-04-02 11:59:59,INS-W_1005,2021-04-02,afternoon,1.96748174603175,3.00816666666667,4.98235625,2.26418725490196,0.6006939393939403,1.879325,21.0,4.0,8.0,17.0,1.5454545454545454,2.0,14.8534666666667,4.99991666666667,21.2091666666667,14.8534666666667,1.1461393939393931,2.99995,41.3171166666667,12.0326666666667,39.85885,38.4911833333333,1.6915848484848486,3.75865
2021-04-02 17:59:59,INS-W_1005,2021-04-02,evening,92.5240777777783,,1.08281666666667,265.551800000002,1.7742833333333314,,3.0,,1.0,1.0,1.5714285714285714,,265.551800000002,,1.08281666666667,265.551800000002,2.9943738095238115,,277.572233333335,,1.08281666666667,265.551800000002,3.4717738095238118,
2021-04-02 23:59:59,INS-W_1005,2021-04-02,night,0.13145,,,138.21956666666716,,,1.0,,,1.0,,,0.13145,,,138.21956666666716,,,0.13145,,,138.21956666666716,,
2021-04-03 05:59:59,INS-W_1005,2021-04-03,morning,13.4311986111111,1.25268333333333,2.4278600000000004,13.4311986111111,0.6883733333333331,0.0100333333333333,12.0,1.0,1.4,12.0,2.2,1.0,90.1409833333333,1.25268333333333,2.679953333333332,90.1409833333333,0.999983333333333,0.0100333333333333,161.174383333333,1.25268333333333,4.679920000000001,161.174383333333,1.2651333333333332,0.0100333333333333
