datetime,pid,date,segment,avgsteps,countepisodesedentarybout,sumsteps
2021-03-29 05:59:59,INS-W_1005,2021-03-29,morning,8.28333333333333,9.0,2982.0
2021-03-29 11:59:59,INS-W_1005,2021-03-29,afternoon,5.01388888888889,15.0,1805.0
2021-03-29 17:59:59,INS-W_1005,2021-03-29,evening,3.48611111111111,7.0,1255.0
2021-03-29 23:59:59,INS-W_1005,2021-03-29,night,1.43888888888889,4.0,518.0
2021-03-30 05:59:59,INS-W_1005,2021-03-30,morning,8.37777777777778,21.0,3016.0
2021-03-30 11:59:59,INS-W_1005,2021-03-30,afternoon,5.30555555555556,19.0,1910.0
2021-03-30 17:59:59,INS-W_1005,2021-03-30,evening,2.31944444444444,15.0,835.0
2021-03-30 23:59:59,INS-W_1005,2021-03-30,night,0.0,1.0,0.0
2021-03-31 05:59:59,INS-W_1005,2021-03-31,morning,17.03888888888889,16.0,6134.0
2021-03-31 11:59:59,INS-W_1005,2021-03-31,afternoon,6.016666666666669,15.5,2166.0
2021-03-31 17:59:59,INS-W_1005,2021-03-31,evening,1.7083333333333302,13.0,615.0
2021-03-31 23:59:59,INS-W_1005,2021-03-31,night,0.0,1.0,0.0
2021-04-01 05:59:59,INS-W_1005,2021-04-01,morning,25.7,11.0,9252.0
2021-04-01 11:59:59,INS-W_1005,2021-04-01,afternoon,6.72777777777778,12.0,2422.0
2021-04-01 17:59:59,INS-W_1005,2021-04-01,evening,1.09722222222222,11.0,395.0
2021-04-01 23:59:59,INS-W_1005,2021-04-01,night,0.0,1.0,0.0
2021-04-02 05:59:59,INS-W_1005,2021-04-02,morning,9.30833333333333,20.0,3351.0
2021-04-02 11:59:59,INS-W_1005,2021-04-02,afternoon,1.46388888888889,13.0,527.0
2021-04-02 17:59:59,INS-W_1005,2021-04-02,evening,4.15277777777778,8.0,1495.0
2021-04-02 23:59:59,INS-W_1005,2021-04-02,night,0.197222222222222,3.0,71.0
2021-04-03 05:59:59,INS-W_1005,2021-04-03,morning,0.133333333333333,3.0,48.0
2021-04-03 11:59:59,INS-W_1005,2021-04-03,afternoon,0.0,1.0,0.0
2021-04-03 17:59:59,INS-W_1005,2021-04-03,evening,0.408333333333333,3.0,147.0
2021-04-03 23:59:59,INS-W_1005,2021-04-03,night,0.0222222222222222,1.0,8.0
2021-04-04 05:59:59,INS-W_1005,2021-04-04,morning,3.48333333333333,11.0,1254.0
2021-04-04 11:59:59,INS-W_1005,2021-04-04,afternoon,10.2944444444444,25.0,3706.0
2021-04-04 17:59:59,INS-W_1005,2021-04-04,evening,2.48888888888889,11.0,896.0
2021-04-04 23:59:59,INS-W_1005,2021-04-04,night,0.0166666666666667,1.0,6.0
2021-04-05 05:59:59,INS-W_1005,2021-04-05,morning,9.43333333333333,23.0,3396.0
2021-04-05 11:59:59,INS-W_1005,2021-04-05,afternoon,1.82777777777778,12.0,658.0
2021-04-05 17:59:59,INS-W_1005,2021-04-05,evening,4.03888888888889,12.0,1454.0
2021-04-05 23:59:59,INS-W_1005,2021-04-05,night,0.0,1.0,0.0
2021-04-06 05:59:59,INS-W_1005,2021-04-06,morning,12.8555555555556,9.0,4628.0
2021-04-06 11:59:59,INS-W_1005,2021-04-06,afternoon,1.41388888888889,16.0,509.0
2021-04-06 17:59:59,INS-W_1005,2021-04-06,evening,12.9416666666667,13.0,4659.0
2021-04-06 23:59:59,INS-W_1005,2021-04-06,night,0.0138888888888889,1.0,5.0
2021-04-07 05:59:59,INS-W_1005,2021-04-07,morning,6.56388888888889,13.0,2363.0
2021-04-07 11:59:59,INS-W_1005,2021-04-07,afternoon,9.99166666666667,17.0,3597.0
2021-04-07 17:59:59,INS-W_1005,2021-04-07,evening,1.10833333333333,8.0,399.0
2021-04-07 23:59:59,INS-W_1005,2021-04-07,night,0.0138888888888889,1.0,5.0
2021-04-08 05:59:59,INS-W_1005,2021-04-08,morning,11.3916666666667,13.0,4101.0
2021-04-08 11:59:59,INS-W_1005,2021-04-08,afternoon,1.78055555555556,19.0,641.0
2021-04-08 17:59:59,INS-W_1005,2021-04-08,evening,7.14722222222222,13.0,2573.0
2021-04-08 23:59:59,INS-W_1005,2021-04-08,night,0.0166666666666667,1.0,6.0
2021-04-09 05:59:59,INS-W_1005,2021-04-09,morning,2.64166666666667,4.0,951.0
2021-04-09 11:59:59,INS-W_1005,2021-04-09,afternoon,0.252777777777778,3.0,91.0
2021-04-09 17:59:59,INS-W_1005,2021-04-09,evening,0.0,1.0,0.0
2021-04-09 23:59:59,INS-W_1005,2021-04-09,night,0.461111111111111,2.0,166.0
2021-04-10 05:59:59,INS-W_1005,2021-04-10,morning,1.320833333333335,2.5,475.5
2021-04-10 11:59:59,INS-W_1005,2021-04-10,afternoon,1.6833333333333336,3.0,606.0
2021-04-10 17:59:59,INS-W_1005,2021-04-10,evening,1.856944444444445,6.500000000000001,668.4999999999999
2021-04-10 23:59:59,INS-W_1005,2021-04-10,night,0.2305555555555555,1.5,83.0
2021-04-11 05:59:59,INS-W_1005,2021-04-11,morning,0.0,1.0,0.0
2021-04-11 11:59:59,INS-W_1005,2021-04-11,afternoon,3.11388888888889,3.0,1121.0
2021-04-11 17:59:59,INS-W_1005,2021-04-11,evening,3.71388888888889,12.0,1337.0
2021-04-11 23:59:59,INS-W_1005,2021-04-11,night,0.0,1.0,0.0
2021-04-12 05:59:59,INS-W_1005,2021-04-12,morning,7.59722222222222,17.0,2735.0
2021-04-12 11:59:59,INS-W_1005,2021-04-12,afternoon,5.78888888888889,23.0,2084.0
2021-04-12 17:59:59,INS-W_1005,2021-04-12,evening,3.86666666666667,10.0,1392.0
2021-04-12 23:59:59,INS-W_1005,2021-04-12,night,0.0277777777777778,1.0,10.0
2021-04-13 05:59:59,INS-W_1005,2021-04-13,morning,28.0111111111111,16.0,10084.0
2021-04-13 11:59:59,INS-W_1005,2021-04-13,afternoon,1.14722222222222,14.0,413.0
2021-04-13 17:59:59,INS-W_1005,2021-04-13,evening,0.302777777777778,4.0,109.0
2021-04-13 23:59:59,INS-W_1005,2021-04-13,night,0.0194444444444444,1.0,7.0
2021-04-14 05:59:59,INS-W_1005,2021-04-14,morning,5.11111111111111,16.0,1840.0
2021-04-14 11:59:59,INS-W_1005,2021-04-14,afternoon,7.23888888888889,18.0,2606.0
2021-04-14 17:59:59,INS-W_1005,2021-04-14,evening,1.58333333333333,11.0,570.0
2021-04-14 23:59:59,INS-W_1005,2021-04-14,night,0.0,1.0,0.0
2021-04-15 05:59:59,INS-W_1005,2021-04-15,morning,3.24444444444444,6.0,1168.0
2021-04-15 11:59:59,INS-W_1005,2021-04-15,afternoon,0.0,1.0,0.0
2021-04-15 17:59:59,INS-W_1005,2021-04-15,evening,0.0,1.0,0.0
2021-04-15 23:59:59,INS-W_1005,2021-04-15,night,0.0333333333333333,1.0,12.0
2021-04-16 05:59:59,INS-W_1005,2021-04-16,morning,0.0,1.0,0.0
2021-04-16 11:59:59,INS-W_1005,2021-04-16,afternoon,0.0,1.0,0.0
2021-04-16 17:59:59,INS-W_1005,2021-04-16,evening,5.07777777777778,14.0,1828.0
2021-04-16 23:59:59,INS-W_1005,2021-04-16,night,0.0,1.0,0.0
2021-04-17 05:59:59,INS-W_1005,2021-04-17,morning,1.86944444444444,13.0,673.0
2021-04-17 11:59:59,INS-W_1005,2021-04-17,afternoon,4.71388888888889,26.0,1697.0
2021-04-17 17:59:59,INS-W_1005,2021-04-17,evening,1.71388888888889,18.0,617.0
2021-04-17 23:59:59,INS-W_1005,2021-04-17,night,0.0,1.0,0.0
2021-04-18 05:59:59,INS-W_1005,2021-04-18,morning,1.56944444444444,13.0,565.0
2021-04-18 11:59:59,INS-W_1005,2021-04-18,afternoon,16.6416666666667,29.0,5991.0
2021-04-18 17:59:59,INS-W_1005,2021-04-18,evening,16.7027777777778,15.0,6013.0
2021-04-18 23:59:59,INS-W_1005,2021-04-18,night,0.0333333333333333,2.0,12.0
2021-04-19 05:59:59,INS-W_1005,2021-04-19,morning,18.6027777777778,12.0,6697.0
2021-04-19 11:59:59,INS-W_1005,2021-04-19,afternoon,19.175,18.0,6903.0
2021-04-19 17:59:59,INS-W_1005,2021-04-19,evening,7.38055555555556,11.0,2657.0
2021-04-19 23:59:59,INS-W_1005,2021-04-19,night,0.0138888888888889,1.0,5.0
2021-04-20 05:59:59,INS-W_1005,2021-04-20,morning,14.9805555555556,29.0,5393.0
2021-04-20 11:59:59,INS-W_1005,2021-04-20,afternoon,5.55833333333333,17.0,2001.0
2021-04-20 17:59:59,INS-W_1005,2021-04-20,evening,0.0,1.0,0.0
2021-04-20 23:59:59,INS-W_1005,2021-04-20,night,0.0,1.0,0.0
2021-04-21 05:59:59,INS-W_1005,2021-04-21,morning,0.0,1.0,0.0
2021-04-21 11:59:59,INS-W_1005,2021-04-21,afternoon,6.875,13.0,2475.0
2021-04-21 17:59:59,INS-W_1005,2021-04-21,evening,1.92222222222222,20.0,692.0
2021-04-21 23:59:59,INS-W_1005,2021-04-21,night,0.0,1.0,0.0
2021-04-22 05:59:59,INS-W_1005,2021-04-22,morning,5.46944444444444,12.0,1969.0
2021-04-22 11:59:59,INS-W_1005,2021-04-22,afternoon,9.03055555555556,28.0,3251.0
2021-04-22 17:59:59,INS-W_1005,2021-04-22,evening,0.983333333333333,10.0,354.0
2021-04-22 23:59:59,INS-W_1005,2021-04-22,night,0.0194444444444444,1.0,7.0
2021-04-23 05:59:59,INS-W_1005,2021-04-23,morning,8.48333333333333,17.0,3054.0
2021-04-23 11:59:59,INS-W_1005,2021-04-23,afternoon,5.8,19.0,2088.0
2021-04-23 17:59:59,INS-W_1005,2021-04-23,evening,0.633333333333333,6.0,228.0
2021-04-23 23:59:59,INS-W_1005,2021-04-23,night,0.0305555555555556,2.0,11.0
2021-04-24 05:59:59,INS-W_1005,2021-04-24,morning,2.49166666666667,5.0,897.0
2021-04-24 11:59:59,INS-W_1005,2021-04-24,afternoon,14.9694444444444,16.0,5389.0
2021-04-24 17:59:59,INS-W_1005,2021-04-24,evening,0.0,1.0,0.0
