pid,date,segment,uniquedevices,countscansmostuniquedevice,datetime
INS-W_1005,2021-03-29,morning,13.0,90.0,2021-03-29 05:59:59
INS-W_1005,2021-03-29,afternoon,4.0,1.0,2021-03-29 11:59:59
INS-W_1005,2021-03-29,evening,9.0,11.0,2021-03-29 17:59:59
INS-W_1005,2021-03-29,night,3.0,40.0,2021-03-29 23:59:59
INS-W_1005,2021-03-30,morning,3.0,90.0,2021-03-30 05:59:59
INS-W_1005,2021-03-30,afternoon,8.0,1.0,2021-03-30 11:59:59
INS-W_1005,2021-03-30,evening,1.0,11.0,2021-03-30 17:59:59
INS-W_1005,2021-03-30,night,1.0,40.0,2021-03-30 23:59:59
INS-W_1005,2021-03-31,morning,1.0,90.0,2021-03-31 05:59:59
INS-W_1005,2021-03-31,afternoon,1.0,1.0,2021-03-31 11:59:59
INS-W_1005,2021-03-31,evening,4.0,11.0,2021-03-31 17:59:59
INS-W_1005,2021-03-31,night,1.0,40.0,2021-03-31 23:59:59
INS-W_1005,2021-04-01,morning,26.0,90.0,2021-04-01 05:59:59
INS-W_1005,2021-04-01,afternoon,6.0,1.0,2021-04-01 11:59:59
INS-W_1005,2021-04-01,evening,1.0,11.0,2021-04-01 17:59:59
INS-W_1005,2021-04-01,night,1.0,40.0,2021-04-01 23:59:59
INS-W_1005,2021-04-02,morning,8.0,90.0,2021-04-02 05:59:59
INS-W_1005,2021-04-02,afternoon,1.0,1.0,2021-04-02 11:59:59
INS-W_1005,2021-04-02,evening,2.0,11.0,2021-04-02 17:59:59
INS-W_1005,2021-04-02,night,1.0,40.0,2021-04-02 23:59:59
INS-W_1005,2021-04-03,morning,2.0,90.0,2021-04-03 05:59:59
INS-W_1005,2021-04-03,afternoon,3.0,1.0,2021-04-03 11:59:59
INS-W_1005,2021-04-03,evening,5.0,11.0,2021-04-03 17:59:59
INS-W_1005,2021-04-03,night,1.0,40.0,2021-04-03 23:59:59
INS-W_1005,2021-04-04,morning,6.0,90.0,2021-04-04 05:59:59
INS-W_1005,2021-04-04,afternoon,6.0,1.0,2021-04-04 11:59:59
INS-W_1005,2021-04-04,evening,1.0,11.0,2021-04-04 17:59:59
INS-W_1005,2021-04-04,night,1.0,40.0,2021-04-04 23:59:59
INS-W_1005,2021-04-05,morning,2.0,90.0,2021-04-05 05:59:59
INS-W_1005,2021-04-05,afternoon,24.0,1.0,2021-04-05 11:59:59
INS-W_1005,2021-04-05,evening,8.0,11.0,2021-04-05 17:59:59
INS-W_1005,2021-04-05,night,2.0,40.0,2021-04-05 23:59:59
INS-W_1005,2021-04-06,morning,12.0,90.0,2021-04-06 05:59:59
INS-W_1005,2021-04-06,afternoon,3.0,1.0,2021-04-06 11:59:59
INS-W_1005,2021-04-06,evening,10.0,11.0,2021-04-06 17:59:59
INS-W_1005,2021-04-06,night,1.0,40.0,2021-04-06 23:59:59
INS-W_1005,2021-04-07,morning,6.0,90.0,2021-04-07 05:59:59
INS-W_1005,2021-04-07,afternoon,7.0,1.0,2021-04-07 11:59:59
INS-W_1005,2021-04-07,evening,1.0,11.0,2021-04-07 17:59:59
INS-W_1005,2021-04-07,night,1.0,40.0,2021-04-07 23:59:59
INS-W_1005,2021-04-08,morning,9.0,90.0,2021-04-08 05:59:59
INS-W_1005,2021-04-08,afternoon,2.0,1.0,2021-04-08 11:59:59
INS-W_1005,2021-04-08,evening,4.0,11.0,2021-04-08 17:59:59
INS-W_1005,2021-04-08,night,1.0,40.0,2021-04-08 23:59:59
INS-W_1005,2021-04-09,morning,1.0,90.0,2021-04-09 05:59:59
INS-W_1005,2021-04-09,afternoon,4.0,1.0,2021-04-09 11:59:59
INS-W_1005,2021-04-09,evening,1.0,11.0,2021-04-09 17:59:59
INS-W_1005,2021-04-09,night,1.0,40.0,2021-04-09 23:59:59
INS-W_1005,2021-04-10,morning,3.0,90.0,2021-04-10 05:59:59
INS-W_1005,2021-04-10,afternoon,14.0,1.0,2021-04-10 11:59:59
INS-W_1005,2021-04-10,evening,4.0,11.0,2021-04-10 17:59:59
INS-W_1005,2021-04-10,night,2.0,40.0,2021-04-10 23:59:59
INS-W_1005,2021-04-11,morning,15.0,90.0,2021-04-11 05:59:59
INS-W_1005,2021-04-11,afternoon,5.0,1.0,2021-04-11 11:59:59
INS-W_1005,2021-04-11,evening,1.0,11.0,2021-04-11 17:59:59
INS-W_1005,2021-04-11,night,1.0,40.0,2021-04-11 23:59:59
INS-W_1005,2021-04-12,morning,3.0,90.0,2021-04-12 05:59:59
INS-W_1005,2021-04-12,afternoon,6.0,1.0,2021-04-12 11:59:59
INS-W_1005,2021-04-12,evening,5.0,11.0,2021-04-12 17:59:59
INS-W_1005,2021-04-12,night,1.0,40.0,2021-04-12 23:59:59
INS-W_1005,2021-04-13,morning,17.0,90.0,2021-04-13 05:59:59
INS-W_1005,2021-04-13,afternoon,3.0,1.0,2021-04-13 11:59:59
INS-W_1005,2021-04-13,evening,3.0,11.0,2021-04-13 17:59:59
INS-W_1005,2021-04-13,night,1.0,40.0,2021-04-13 23:59:59
INS-W_1005,2021-04-14,morning,4.0,90.0,2021-04-14 05:59:59
INS-W_1005,2021-04-14,afternoon,5.0,4.666666666666666,2021-04-14 11:59:59
INS-W_1005,2021-04-14,evening,2.0,11.0,2021-04-14 17:59:59
INS-W_1005,2021-04-14,night,3.0,40.0,2021-04-14 23:59:59
INS-W_1005,2021-04-15,morning,5.0,90.0,2021-04-15 05:59:59
INS-W_1005,2021-04-15,afternoon,6.0,8.333333333333332,2021-04-15 11:59:59
INS-W_1005,2021-04-15,evening,4.0,11.0,2021-04-15 17:59:59
INS-W_1005,2021-04-15,night,2.0,40.0,2021-04-15 23:59:59
INS-W_1005,2021-04-16,morning,28.0,90.0,2021-04-16 05:59:59
INS-W_1005,2021-04-16,afternoon,3.0,12.0,2021-04-16 11:59:59
INS-W_1005,2021-04-16,evening,5.0,11.0,2021-04-16 17:59:59
INS-W_1005,2021-04-16,night,1.0,40.0,2021-04-16 23:59:59
INS-W_1005,2021-04-17,morning,1.0,90.0,2021-04-17 05:59:59
INS-W_1005,2021-04-17,afternoon,2.0,15.666666666666666,2021-04-17 11:59:59
INS-W_1005,2021-04-17,evening,1.0,11.0,2021-04-17 17:59:59
INS-W_1005,2021-04-17,night,1.0,40.0,2021-04-17 23:59:59
INS-W_1005,2021-04-18,morning,1.0,90.0,2021-04-18 05:59:59
INS-W_1005,2021-04-18,afternoon,5.0,19.333333333333332,2021-04-18 11:59:59
INS-W_1005,2021-04-18,evening,5.0,11.0,2021-04-18 17:59:59
INS-W_1005,2021-04-18,night,1.0,40.0,2021-04-18 23:59:59
INS-W_1005,2021-04-19,morning,7.0,90.0,2021-04-19 05:59:59
INS-W_1005,2021-04-19,afternoon,11.0,23.0,2021-04-19 11:59:59
INS-W_1005,2021-04-19,evening,3.0,11.0,2021-04-19 17:59:59
INS-W_1005,2021-04-19,night,4.0,40.0,2021-04-19 23:59:59
INS-W_1005,2021-04-20,morning,3.0,90.0,2021-04-20 05:59:59
INS-W_1005,2021-04-20,afternoon,7.0,26.666666666666668,2021-04-20 11:59:59
INS-W_1005,2021-04-20,evening,13.0,11.0,2021-04-20 17:59:59
INS-W_1005,2021-04-20,night,1.0,40.0,2021-04-20 23:59:59
INS-W_1005,2021-04-21,morning,3.0,90.0,2021-04-21 05:59:59
INS-W_1005,2021-04-21,afternoon,7.214285714285714,30.333333333333332,2021-04-21 11:59:59
INS-W_1005,2021-04-21,evening,12.153846153846153,11.0,2021-04-21 17:59:59
INS-W_1005,2021-04-21,night,1.0,40.0,2021-04-21 23:59:59
INS-W_1005,2021-04-22,morning,3.0,90.0,2021-04-22 05:59:59
INS-W_1005,2021-04-22,afternoon,7.428571428571429,34.0,2021-04-22 11:59:59
INS-W_1005,2021-04-22,evening,11.307692307692308,11.0,2021-04-22 17:59:59
INS-W_1005,2021-04-22,night,1.0,40.0,2021-04-22 23:59:59
INS-W_1005,2021-04-23,morning,3.0,90.0,2021-04-23 05:59:59
INS-W_1005,2021-04-23,afternoon,7.642857142857143,37.666666666666664,2021-04-23 11:59:59
INS-W_1005,2021-04-23,evening,10.461538461538462,11.0,2021-04-23 17:59:59
INS-W_1005,2021-04-23,night,1.0,40.0,2021-04-23 23:59:59
INS-W_1005,2021-04-24,morning,3.0,90.0,2021-04-24 05:59:59
INS-W_1005,2021-04-24,afternoon,7.857142857142857,41.333333333333336,2021-04-24 11:59:59
INS-W_1005,2021-04-24,evening,9.615384615384615,11.0,2021-04-24 17:59:59
INS-W_1005,2021-04-24,night,1.0,40.0,2021-04-24 23:59:59
INS-W_1005,2021-04-25,morning,3.0,90.0,2021-04-25 05:59:59
INS-W_1005,2021-04-25,afternoon,8.071428571428571,45.0,2021-04-25 11:59:59
INS-W_1005,2021-04-25,evening,8.76923076923077,11.0,2021-04-25 17:59:59
INS-W_1005,2021-04-25,night,1.0,40.0,2021-04-25 23:59:59
INS-W_1005,2021-04-26,morning,3.0,90.0,2021-04-26 05:59:59
INS-W_1005,2021-04-26,afternoon,8.285714285714286,48.666666666666664,2021-04-26 11:59:59
INS-W_1005,2021-04-26,evening,7.923076923076923,11.0,2021-04-26 17:59:59
INS-W_1005,2021-04-26,night,1.0,40.0,2021-04-26 23:59:59
INS-W_1005,2021-04-27,morning,3.0,90.0,2021-04-27 05:59:59
INS-W_1005,2021-04-27,afternoon,8.5,52.333333333333336,2021-04-27 11:59:59
INS-W_1005,2021-04-27,evening,7.076923076923077,11.0,2021-04-27 17:59:59
INS-W_1005,2021-04-27,night,1.0,40.0,2021-04-27 23:59:59
INS-W_1005,2021-04-28,morning,3.0,90.0,2021-04-28 05:59:59
INS-W_1005,2021-04-28,afternoon,8.714285714285714,56.0,2021-04-28 11:59:59
INS-W_1005,2021-04-28,evening,6.230769230769231,11.0,2021-04-28 17:59:59
INS-W_1005,2021-04-28,night,1.0,40.0,2021-04-28 23:59:59
INS-W_1005,2021-04-29,morning,3.0,90.0,2021-04-29 05:59:59
INS-W_1005,2021-04-29,afternoon,8.928571428571429,59.666666666666664,2021-04-29 11:59:59
INS-W_1005,2021-04-29,evening,5.384615384615385,11.0,2021-04-29 17:59:59
INS-W_1005,2021-04-29,night,1.0,40.0,2021-04-29 23:59:59
INS-W_1005,2021-04-30,morning,3.0,90.0,2021-04-30 05:59:59
INS-W_1005,2021-04-30,afternoon,9.142857142857142,63.333333333333336,2021-04-30 11:59:59
INS-W_1005,2021-04-30,evening,4.538461538461538,11.0,2021-04-30 17:59:59
INS-W_1005,2021-04-30,night,1.0,40.0,2021-04-30 23:59:59
INS-W_1005,2021-05-01,morning,3.0,90.0,2021-05-01 05:59:59
INS-W_1005,2021-05-01,afternoon,9.357142857142858,67.0,2021-05-01 11:59:59
